#Anno_Riferimento,Tipologia_Amministrazione,Regione_Fornitore,Regione_PA,Tipo_Negoziazione,N_negoziazioni_stipulate,N_Contratti_Stipulati,Valore_Base_Asta,Perc_negoziazioni_base_asta_valorizzata,Valore_contratti_stipulati,N_Medio_Fornitori_Partecipanti,N_Fornitori_con_contratti_stipulati,N_PA_Appaltanti,N_PO,Durata_media_negoziazione,Tempi_Medi_Stipula
"2018","PROVINCE","LAZIO","LIGURIA","RdO","1","1","3250",,"3060","10","1","1","1","50","0"
"2018","PROVINCE","LIGURIA","LIGURIA","RdO","29","38","2802645,45",,"2277738,35","3,76","28","4","9","83,84","27,79"
"2018","PROVINCE","TOSCANA","LIGURIA","RdO","2","2","25784,6",,"12821,86","6,5","2","2","2","93,5","0"
"2018","PROVINCE","CALABRIA","LIGURIA","RdO","1","2","54567",,"21935,91","30","1","1","1","57","1"
"2018","PROVINCE","PIEMONTE","LIGURIA","RdO","2","2","55604,06",,"56026,08","2","2","2","2","92,5","47"
"2018","PROVINCE","LOMBARDIA","LIGURIA","RdO","7","7","67062,31",,"54865,55","3","6","2","3","84,86","6"
"2018","PROVINCE","EMILIA ROMAGNA","LIGURIA","RdO","4","4","18065",,"16687,99","2","3","1","2","30,75","12"
"2018","PROVINCE","LAZIO","SICILIA","RdO","2","2","12295,08",,"9857,21","14","1","1","1","26,5","12"
"2018","PROVINCE","UMBRIA","SICILIA","RdO","2","2","35888,32",,"29769,94","6,5","2","2","2","24","0"
"2018","PROVINCE","VENETO","SICILIA","RdO","2","2","110989",,"105332,84","7","2","2","2","100,5","0"
"2018","PROVINCE","SICILIA","SICILIA","RdO","67","67","2712372,6",,"1957170,48","4,96","59","9","17","51,27","17,72"
"2018","PROVINCE","TOSCANA","SICILIA","RdO","3","3","35150",,"26584","9,67","3","2","3","25,33","2,33"
"2018","PROVINCE","CAMPANIA","SICILIA","RdO","3","3","23552,4",,"22972","1,33","2","3","3","16,33","0"
"2018","PROVINCE","PIEMONTE","SICILIA","RdO","1","1","11647,3",,"8332,12","9","1","1","1","20","0"
"2018","PROVINCE","LOMBARDIA","SICILIA","RdO","5","5","158778,3",,"113085,6","5,6","5","3","4","45","13,8"
"2018","PROVINCE","EMILIA ROMAGNA","SICILIA","RdO","2","2","24125,7",,"14818,7","8","2","1","2","67,5","12"
"2018","PROVINCE","LAZIO","TOSCANA","RdO","13","13","41500",,"29435,06","3","6","3","4","26,92","0,69"
"2018","PROVINCE","MARCHE","TOSCANA","RdO","1","1","65808,12",,"52919,74","10","1","1","1","306","0"
"2018","PROVINCE","PUGLIA","TOSCANA","RdO","5","5","21408,69",,"19010,5","2,8","2","2","2","24","0,4"
"2018","PROVINCE","UMBRIA","TOSCANA","RdO","7","8","113676,26",,"100439,29","5,63","6","4","5","75,25","3"
"2018","PROVINCE","VENETO","TOSCANA","RdO","8","8","340536,89",,"319090,24","3,88","8","5","6","61,75","1,75"
"2018","PROVINCE","ABRUZZO","TOSCANA","RdO","2","2","13178,4",,"13028,4","1,5","2","2","2","68","1,5"
"2018","PROVINCE","LIGURIA","TOSCANA","RdO","2","2","12892,42",,"12236","6,5","2","2","2","43,5","2"
"2018","PROVINCE","SICILIA","TOSCANA","RdO","7","7","413983,01",,"343321,6","5,43","4","5","5","113,14","0,14"
"2018","PROVINCE","TOSCANA","TOSCANA","RdO","82","83","4789633,66",,"4430980,87","4,87","61","8","20","84,12","7,78"
"2018","PROVINCE","CALABRIA","TOSCANA","RdO","2","2","87680,76",,"87937,94","4,5","1","2","2","144","0,5"
"2018","PROVINCE","CAMPANIA","TOSCANA","RdO","13","13","1011205,86",,"893508,69","5,08","11","5","8","87,38","12"
"2018","PROVINCE","PIEMONTE","TOSCANA","RdO","3","3","87300",,"83685","4","3","3","3","62,33","2,33"
"2018","PROVINCE","LOMBARDIA","TOSCANA","RdO","13","13","277534,99",,"205399,36","5,08","10","6","8","72,69","1,23"
"2018","PROVINCE","SAN MARINO","TOSCANA","RdO","1","1","8200",,"7571,9","7","1","1","1","58","0"
"2018","PROVINCE","EMILIA ROMAGNA","TOSCANA","RdO","7","7","196277,75",,"170512,01","2,86","6","4","6","33,86","9,43"
"2018","PROVINCE","TRENTINO ALTO ADIGE","TOSCANA","RdO","3","3","133316,33",,"107187,33","8","3","2","2","77,67","28,33"
"2018","PROVINCE","LAZIO","CALABRIA","RdO","1","1","69452,48",,"47000","5","1","1","1","16","0"
"2018","PROVINCE","MARCHE","CALABRIA","RdO","1","1","24590",,"24590","1","1","1","1","27","0"
"2018","PROVINCE","VENETO","CALABRIA","RdO","2","2","19300",,"13805,74","1","2","2","2","27","10,5"
"2018","PROVINCE","SICILIA","CALABRIA","RdO","4","4","67641,02",,"56990","3","4","3","3","46,5","9"
"2018","PROVINCE","CALABRIA","CALABRIA","RdO","82","82","2481303,55",,"1893657,16","2,76","68","4","12","67,83","4,2"
"2018","PROVINCE","PIEMONTE","CALABRIA","RdO","1","1","110",,"1248","1","1","1","1","14","0"
"2018","PROVINCE","LOMBARDIA","CALABRIA","RdO","3","3","139013,52",,"128475,32","4","3","3","3","30","0"
"2018","PROVINCE","EMILIA ROMAGNA","CALABRIA","RdO","1","1","15000",,"6750","3","1","1","1","7","0"
"2018","PROVINCE","LAZIO","CAMPANIA","RdO","9","9","790836,86",,"664359,38","5,56","9","3","7","107,56","1,78"
"2018","PROVINCE","PUGLIA","CAMPANIA","RdO","3","3","405000",,"402550","6","2","2","2","191,33","36,33"
"2018","PROVINCE","VENETO","CAMPANIA","RdO","3","3","51915",,"29206,11","4,33","2","2","3","45,67","12,67"
"2018","PROVINCE","SICILIA","CAMPANIA","RdO","5","5","435515,8",,"296972,16","10,6","5","3","4","60,8","21,4"
"2018","UNIVERSITA' E POLITECNICI","LIGURIA","SICILIA","RdO","8","8","181295",,"147383,42","1,13","4","3","7","54,38","4,5"
"2018","UNIVERSITA' E POLITECNICI","SICILIA","SICILIA","RdO","773","803","8659790,03",,"6930364,4","2,34","312","4","58","30,63","3,29"
"2018","UNIVERSITA' E POLITECNICI","TOSCANA","SICILIA","RdO","18","19","115088,85",,"106123,12","4,32","16","3","13","39,21","2,58"
"2018","UNIVERSITA' E POLITECNICI","CALABRIA","SICILIA","RdO","9","9","96363,63",,"90545,8","8,67","6","3","7","57","1,33"
"2018","UNIVERSITA' E POLITECNICI","CAMPANIA","SICILIA","RdO","35","35","274863,84",,"230598,85","4,69","19","3","15","40,49","3,11"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","SICILIA","RdO","24","25","209593,18",,"185025,65","3,16","12","3","15","29,04","3,16"
"2018","UNIVERSITA' E POLITECNICI","SARDEGNA","SICILIA","RdO","2","2","17000",,"14822","4","2","2","2","21,5","7,5"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","SICILIA","RdO","189","193","2186032,58",,"1792439,68","2,54","85","3","28","35,39","5,3"
"2018","UNIVERSITA' E POLITECNICI","PAESI BASSI","SICILIA","RdO","1","1","25000",,"24000","2","1","1","1","210","76"
"2018","UNIVERSITA' E POLITECNICI","EMILIA ROMAGNA","SICILIA","RdO","39","39","168852,92",,"144106,76","3,87","22","3","15","27,38","1,92"
"2018","UNIVERSITA' E POLITECNICI","TRENTINO ALTO ADIGE","SICILIA","RdO","3","3","4240",,"3915,21","3,67","2","1","3","15,67","3,67"
"2018","UNIVERSITA' E POLITECNICI","FRIULI VENEZIA GIULIA","SICILIA","RdO","10","10","17554,48",,"15950,2","1,6","5","3","7","47,8","5,5"
"2018","UNIVERSITA' E POLITECNICI","LAZIO","TOSCANA","RdO","46","46","715022,06",,"612418,35","4","30","7","26","23,89","4,28"
"2018","UNIVERSITA' E POLITECNICI","MARCHE","TOSCANA","RdO","7","7","61071",,"45243,86","3","5","3","7","26,57","0,86"
"2018","UNIVERSITA' E POLITECNICI","MOLISE","TOSCANA","RdO","1","1","625",,"624","1","1","1","1","13","0"
"2018","UNIVERSITA' E POLITECNICI","PUGLIA","TOSCANA","RdO","20","20","66054,21",,"56820,42","3","5","4","9","11,4","0,9"
"2018","UNIVERSITA' E POLITECNICI","SVEZIA","TOSCANA","RdO","2","2","32440",,"31679","1","1","1","1","10","0"
"2018","UNIVERSITA' E POLITECNICI","UMBRIA","TOSCANA","RdO","8","8","225759",,"163275,34","3,25","6","3","6","28,63","3,88"
"2018","UNIVERSITA' E POLITECNICI","VENETO","TOSCANA","RdO","49","49","155087,98",,"144235,16","2,45","19","6","25","15,1","0,8"
"2018","UNIVERSITA' E POLITECNICI","ABRUZZO","TOSCANA","RdO","4","4","39890",,"21542,4","3","2","2","4","57,25","2"
"2018","UNIVERSITA' E POLITECNICI","LIGURIA","TOSCANA","RdO","3","3","21519,38",,"17954,65","5,33","2","2","2","43,33","24"
"2018","UNIVERSITA' E POLITECNICI","SICILIA","TOSCANA","RdO","10","10","220351,39",,"180335,03","8","8","3","9","20,1","1,1"
"2018","UNIVERSITA' E POLITECNICI","TOSCANA","TOSCANA","RdO","264","264","2588496,5",,"2216767,01","1,75","140","8","53","18,89","2,48"
"2018","UNIVERSITA' E POLITECNICI","CALABRIA","TOSCANA","RdO","4","4","9498",,"8899","3,5","4","3","4","49,5","0"
"2018","UNIVERSITA' E POLITECNICI","CAMPANIA","TOSCANA","RdO","10","10","342332,04",,"215695,35","6","7","3","7","37","0,5"
"2018","UNIVERSITA' E POLITECNICI","PIEMONTE","TOSCANA","RdO","33","34","271348,47",,"246181,19","2,12","11","7","20","19,26","0,97"
"2018","UNIVERSITA' E POLITECNICI","SARDEGNA","TOSCANA","RdO","1","1","3000",,"2300","2","1","1","1","16","1"
"2018","UNIVERSITA' E POLITECNICI","LOMBARDIA","TOSCANA","RdO","100","102","939080,47",,"761220,49","1,9","55","7","33","20,9","2,36"
"2018","UNIVERSITA' E POLITECNICI","BASILICATA","TOSCANA","RdO","5","5","15685",,"14200","1,6","2","1","1","7","0"
"2018","UNIVERSITA' E POLITECNICI","EMILIA ROMAGNA","TOSCANA","RdO","23","23","341710,24",,"222652,81","2,96","17","7","15","16","1,22"
"2018","UNIVERSITA' E POLITECNICI","TRENTINO ALTO ADIGE","TOSCANA","RdO","2","2","33500",,"27726,77","6","2","1","2","61","24,5"
"2018","UNIVERSITA' E POLITECNICI","FRIULI VENEZIA GIULIA","TOSCANA","RdO","8","8","26677",,"23308,85","2,88","5","4","7","16,63","3,5"
"2018","UNIVERSITA' E POLITECNICI","LAZIO","CALABRIA","RdO","49","49","401259,99",,"341603,59","3,45","23","3","15","22,2","2,47"
"2018","UNIVERSITA' E POLITECNICI","MARCHE","CALABRIA","RdO","9","9","98150",,"95211,34","7,89","7","2","6","13,56","1,44"
