cod_amm	cod_prt_dom	progr_pdd	stato_pdd	ver_pdd
c_l220	comuneditoritto	1	-	1.1
c_l324	ComuneTramontiSopra	1	-	1.1
c_l347	ComuneTravesio	1	-	1.1
c_l378	ComuneDiTrento	1	-	1.1
c_l416	ComuneTribogna	1	-	1.1
c_l425	comuneditriggiano	1	-	1.1
c_l472	comunedituri	1	-	1.1
c_l485	comunediuggianolachiesa	1	-	1.1
c_l499	ComuneUrbe	1	-	1.1
c_l507	ComuneUscio	1	-	1.1
c_l546	ComuneValbrevenna	1	-	1.1
c_l571	comunedivalenzano	1	-	1.1
c_l675	ComuneVarazze	1	-	1.1
c_l681	ComuneVareseLigure	1	-	1.1
c_l781	comunediverona	1	-	1.1
c_l823	ComuneVezziPortio	1	-	1.1
c_m034	ComuneVillaVicentina	1	-	1.1
c_m085	ComuneVitoDAsio	1	-	1.1
c_m105	ComuneVobbia	1	-	1.1
c_m182	ComuneZoagli	1	-	1.1
C_M187	comunedizollino	1	-	1.1
c_m190	ComuneZoppola	1	-	1.1
c_m263	ComuneDiPortoCesareo	1	-	1.1
c_m800	ComuneSanCiprianoPicentino	1	Si	1.1
eq_ita	Equitalia	1	Si	1.1
f_756	ComuneMortegliano	1	-	1.1
gses	GestoreServiziEnergetici	1	Si	1.1
inail	IstitutoNazionaleAssicurazioneInfortuniLavoro	1	Si	1.1
inas	IstitutoNazionaleAssistenzaSociale	1	Si	1.1
inps	IstitutoNazionalePrevidenzaSociale	1	Si	1.1
ISTAT	IstitutoNazionaleStatistica	1	Si	1.1
izooam	IZSTeramo	1	Si	1.1
m_ae	MinisteroAffariEsteri	1	Si	1.1
m_d	MinisteroDifesa	1	Si	1.1
m_dg	MinisteroGiustizia	1	Si	1.1
m_ef	MinisteroEconomiaFinanze	1	Si	1.1
m_ef	MEFSistemaTesseraSanitaria	2	Si	1.1
m_ef	SistemaInformativoFiscalitaDF	3	Si	1.1
m_inf	MinisteroInfrastruttureTrasportiMotorizzazione	1	Si	1.1
m_inf	MIT	2	Si	1.1
m_inf	CapitanerieDiPorto	3	Si	1.1
m_it	MinisteroInternoCNSD	1	Si	1.1
m_it	MinisteroInternoDPPServiziInformatici	2	Si	1.1
m_it	MinisteroInternoDipartimentoLibertaCivile	3	Si	1.1
m_it	ServizioSistemaInformativoInterforze	4	Si	1.1
m_it	MinInternoPortaANPR	5	Si	1.1
m_lps	MinisteroLavoroSalutePoliticheSociali	1	Si	1.1
m_paf	MinisteroPoliticheAgricoleAlimentariForestali	1	Si	1.1
M_PI	MinisteroIstruzioneUniversitaRicerca	1	Si	1.1
m_sa	MinisteroSalute	1	Si	1.1
m_svec	MinisteroSviluppoEconomico	1	Si	1.1
pis_058	PosteItaliane	1	Si	1.1
p_bz	ProvinciaAutonomadiBolzano	1	Si	1.1
p_im	ProvinciaImperia	1	-	1.1
p_sp	ProvinciaLaSpezia	1	-	1.1
